Title,Year,URL,Image,Series,Type,Topic,Software
Science Communication and Digital Activism: 2022 SCDS Graduate Resident Events,2021-2022,https://learn.scds.ca/2022-grevents/,https://learn.scds.ca/2022-grevents/assets/img/ScienceCommunication.png,Special,Recording,TODO,TODO
Intro to Making and Sharing Maps with ArcGIS Pro,2023-2024,https://learn.scds.ca/ArcGIS-Pro/,https://learn.scds.ca/ArcGIS-Pro/assets/img/arcgispro.png,DASH,Asynchronous Workshop,TODO,TODO
Creative Research and Building Feminist Data,2020-2021,https://learn.scds.ca/building-feminist-data/,https://learn.scds.ca/building-feminist-data/assets/img/CAROLINE-RelevantResearchSocialMedia.png,RR,Recording,TODO,TODO
Machine Learning with R: K-Means Clustering,2022-2023;2023-2024,https://learn.scds.ca/machine-learning-with-r/k-means.html,https://learn.scds.ca/machine-learning-with-r/assets/img/kmeans.png,DASH,Recording,TODO,TODO
Machine Learning with R: Linear Regression,2022-2023;2023-2024,https://learn.scds.ca/machine-learning-with-r/linear-regression.html,https://learn.scds.ca/machine-learning-with-r/assets/img/linearregression.png,DASH,Recording,TODO,TODO
Machine Learning with R: Logistic Regression,2022-2023;2023-2024,https://learn.scds.ca/machine-learning-with-r/logistic-regression.html,https://learn.scds.ca/machine-learning-with-r/assets/img/logisticregression.png,DASH,Recording,TODO,TODO
Machine Learning with R: Random Forest Classification Approach,2022-2023;2023-2024,https://learn.scds.ca/machine-learning-with-r/random-forest.html,https://learn.scds.ca/machine-learning-with-r/assets/img/randomforest.png,DASH,Recording,TODO,TODO
Machine Learning with R: Support Vector Machine Classification,2022-2023,https://learn.scds.ca/machine-learning-with-r/svm.html,https://learn.scds.ca/machine-learning-with-r/assets/img/MLR-SVM.png,DASH,Recording,TODO,TODO
Introduction to Python,2020-2021;2022-2023;2023-2024,https://learn.scds.ca/intro-python/,https://learn.scds.ca/intro-python/assets/img/titleSlide.png,DASH,Recording;Asynchronous Workshop,TODO,TODO
Intermediate Python Programming (2022-2023),2022-2023,https://learn.scds.ca/dash22-23/IntermediatePython.html,https://learn.scds.ca/dash22-23/assets/img/IntPyth.png,DASH,Recording,TODO,TODO
Making the Move from ArcMap to ArcGIS Pro,2022-2023,https://learn.scds.ca/dash22-23/ArcGISPro.html,https://learn.scds.ca/dash22-23/assets/img/ArcMapArcPro.png,DASH,Asynchronous Workshop,TODO,TODO
Machine Learning with Python,2022-2023,https://learn.scds.ca/dash22-23/Machine-learning-python.html,https://learn.scds.ca/dash22-23/assets/img/Python-Rescheduled.png,DASH,Recording,TODO,TODO
Introduction to R Programming,2020-2021;2021-2022;2022-2023;2023-2024;2024-2025,https://learn.scds.ca/intro-r/,https://learn.scds.ca/intro-r/assets/img/titleSlide.png,DASH,Recording;Asynchronous Workshop,TODO,TODO
Data Visualization with MATLAB,2022-2023,https://learn.scds.ca/dash22-23/Matlab.html,https://learn.scds.ca/dash22-23/assets/img/Matlab-Final.png,DASH,Recording,TODO,TODO
Data Visualization in R using ggplot2 (2022-2023),2022-2023,https://learn.scds.ca/dash22-23/ggplot2.html,https://learn.scds.ca/dash22-23/assets/img/ggplot2.png,DASH,Recording,TODO,TODO
Introduction to Geospatial Data,2022-2023,https://learn.scds.ca/dash22-23/Intro-Geospatial-Data.html,https://learn.scds.ca/dash22-23/assets/img/GeoSpatial.png,DASH,Asynchronous Workshop,TODO,TODO
Visual Data Analysis with Microsoft Excel,2022-2023,https://learn.scds.ca/dash22-23/vda.html,https://learn.scds.ca/dash22-23/assets/img/VDAME.png,DASH,Recording,TODO,TODO
How to Copy ArcGIS Online Content Between Accounts,2022-2023,https://learn.scds.ca/dash22-23/Copy_ArcGIS_Content.html,https://learn.scds.ca/dash22-23/assets/img/Copy_ArcGIS_Content.png,DASH,Asynchronous Workshop,TODO,TODO
Cleaning Up Messy Data with Python and Pandas,2022-2023,https://learn.scds.ca/dash22-23/datacleaning.html,https://learn.scds.ca/dash22-23/assets/img/Pandas.png,DASH,Recording,TODO,TODO
Introduction to Version Control with Git,2021-2022;2022-2023;2023-2024,https://learn.scds.ca/intro-git/,https://learn.scds.ca/intro-git/assets/img/titleSlide.png,DASH,Recording;Asynchronous Workshop,TODO,TODO
Data Visualization in R using ggplot2 (2023-2024),2023-2024,https://learn.scds.ca/dash23-24/ggplot2.html,https://learn.scds.ca/dash23-24/assets/img/ggplot2.png,DASH,Recording,TODO,TODO
Introduction to SPSS,2020-2021;2023-2024,https://learn.scds.ca/intro-spss/,https://learn.scds.ca/intro-spss/assets/img/titleSlide.png,DASH,Recording;Asynchronous Workshop,TODO,TODO
"Hypothesis Test, Univariate, and Bivariate Analysis with R",2023-2024,https://learn.scds.ca/dash23-24/r-hypothesis.html,https://learn.scds.ca/dash23-24/assets/img/HypothesisTestBanner.png,DASH,Recording,TODO,TODO
Multivariable Analysis with R,2023-2024,https://learn.scds.ca/dash23-24/r-multivariable.html,https://learn.scds.ca/dash23-24/assets/img/MultivariableAnalysis.png,DASH,Recording,TODO,TODO
Introduction to Document Typesetting and Scientific Publishing with LaTeX,2021-2022;2023-2024,https://learn.scds.ca/intro-latex/,https://learn.scds.ca/intro-latex/assets/img/titleSlide.png,DASH,Recording;Asynchronous Workshop,TODO,TODO
Web Scraping with Python's Beautiful Soup,2023-2024,https://learn.scds.ca/dash23-24/webscraping.html,https://learn.scds.ca/dash23-24/assets/img/webscrape.png,DASH,Recording,TODO,TODO
Intermediate Python Programming (2023-2024),2023-2024,https://learn.scds.ca/dash23-24/python-intermediate.html,https://learn.scds.ca/dash23-24/assets/img/IntermediatePython.png,DASH,Recording,TODO,TODO
Survival Analysis with R,2023-2024,https://learn.scds.ca/dash23-24/r-survival.html,https://learn.scds.ca/dash23-24/assets/img/SurvivalAnalysis.png,DASH,Recording,TODO,TODO
Data-Driven Stories,2021-2022,https://learn.scds.ca/data-driven-stories/,https://learn.scds.ca/data-driven-stories/assets/img/RelevantResearchEmailImage_v2.png,RR,Asynchronous Workshop,TODO,TODO
Design Principles for Data Visualization,2021-2022,https://learn.scds.ca/data-visualization-principles/,https://learn.scds.ca/data-visualization-principles/assets/img/JUAN-RelevantResearchSocialMedia_1000px.png,RR,Recording,TODO,TODO
Digital Tools in the Humanities and Social Sciences: A Research Roundtable,2021-2022,https://learn.scds.ca/dh-roundtable/,https://learn.scds.ca/dh-roundtable/assets/img/DigitalTools-library-news.png,Special,Recording,TODO,TODO
Predatory Publishing in the Era of Open Knowledge: Reducing the Odds of Falling Prey,2021-2022,https://learn.scds.ca/dmds21-22/predatory-publishing.html,https://learn.scds.ca/dmds21-22/assets/img/predatory-publishing.png,DMDS,Recording,TODO,TODO
Building Digital Exhibits: A Roundtable Celebrating the Launch of Omeka S,2021-2022,https://learn.scds.ca/dmds21-22/omeka-s-launch.html,https://learn.scds.ca/dmds21-22/assets/img/omeka-s-launch.jpg,DMDS,Recording,TODO,TODO
Textual Analysis with Voyant,2020-2021;2021-2022,https://learn.scds.ca/intro-voyant/,https://learn.scds.ca/intro-voyant/assets/img/titleSlide.png,DMDS,Recording,TODO,TODO
Network Visualizations and Analysis with Gephi,2020-2021;2021-2022;2023-2024,https://learn.scds.ca/intro-gephi/,https://learn.scds.ca/intro-gephi/assets/img/titleSlide.png,DMDS,Recording,TODO,TODO
What is Digital Scholarship? A Panel Discussion,2022-2023,https://learn.scds.ca/dmds22-23/WhatIsDS.html,https://learn.scds.ca/dmds22-23/assets/img/What%20Is%20DS%20Poster%20-%20White%20BG.png,DMDS,Recording,TODO,TODO
Visualizing Texts with Voyant Tools,2022-2023,https://learn.scds.ca/dmds22-23/Voyant.html,https://learn.scds.ca/dmds22-23/assets/img/VoyantPoster.png,DMDS,Recording,TODO,TODO
"Open Everything! A Panel on the Whats, Hows, and Ifs of Open Scholarship",2022-2023,https://learn.scds.ca/dmds22-23/OpenEverything.html,https://learn.scds.ca/dmds22-23/assets/img/OpenEverything.png,DMDS,Recording,TODO,TODO
From Info-Glut to Connected Notes: Obsidian and Digital Note-Taking in Academia,2022-2023,https://learn.scds.ca/dmds22-23/Obsidian.html,https://learn.scds.ca/dmds22-23/assets/img/Obsidian%20White%20BG.png,DMDS,Recording,TODO,TODO
Computational Approaches to Text Preparation and Analysis,2022-2023,https://learn.scds.ca/dmds22-23/ComputationalText.html,https://learn.scds.ca/dmds22-23/assets/img/ComputationalText.png,DMDS,Recording,TODO,TODO
Introduction to Creating Interactive Stories with Twine,2022-2023,https://learn.scds.ca/intro-twine/,https://learn.scds.ca/intro-twine/assets/img/titleSlide.png,DMDS,Asynchronous Workshop,TODO,TODO
3D Modelling and Printing,2022-2023,https://learn.scds.ca/dmds22-23/3dprinting.html,https://learn.scds.ca/dmds22-23/assets/img/3DPPoster.png,DMDS,Resource,TODO,TODO
Teaching with Digital Tools and Approaches: A Sherman Centre Roundtable,2022-2023,https://learn.scds.ca/dmds22-23/DigitalTools.html,https://learn.scds.ca/dmds22-23/assets/img/TwDTPoster.png,DMDS,Recording,TODO,TODO
"The Infinite Game: ChatGPT, Procedural Generation, and Large Language Models",2022-2023,https://learn.scds.ca/dmds22-23/InfiniteGame.html,https://learn.scds.ca/dmds22-23/assets/img/IGP.png,DMDS,Recording,TODO,TODO
"Introducing Digital Scholarship 1: Podcasting, Born-Digital Publishing, and Social Media Research",2023-2024,https://learn.scds.ca/dmds23-24/introdig.html,https://learn.scds.ca/dmds23-24/assets/img/introdig1.png,DMDS,Recording,TODO,TODO
"Introducing Digital Scholarship 2: Interactive and Digital Storytelling, Digital Exhibits and Community Archiving",2023-2024,https://learn.scds.ca/dmds23-24/introdig2.html,https://learn.scds.ca/dmds23-24/assets/img/introdig2.png,DMDS,Recording,TODO,TODO
